Show Quick Access Toolbar	显示快速访问工具栏	common
Hide Quick Access Toolbar	隐藏快速访问工具栏	common
Show Command Labels	显示命令标签	common
Hide Command Labels	隐藏命令标签	common
Add to Quick Access Toolbar	添加到快速访问工具栏	common
More Commands	更多命令	common
Commands Not in the Ribbon	不在功能区中的命令	common
Add	添加	common
Customize Quick Access Toolbar	自定义快速访问工具栏	common
Move Up	上移	common
Move Down	下移	common
Rename	重命名	common
Collapse the ribbon	折叠功能区	common
Ribbon Display Options	功能区显示选项	common
Customize the Ribbon	自定义功能区	common
Remove	删除	common
New Group	新建组	common
Symbol	符号	common
Main Tabs	主选项卡	common
Choose commands from	从下列位置选择命令	common
Popular Commands	常用命令	common
Reset	重置	common
Import/Export	导入/导出	common
Import customization file	导入自定义文件	common
Scatter	散点图	common
High-low-close	盘高-盘低-收盘股价图	common
Open-high-low-close	开盘-盘高-盘低-收盘股价图	common
Volume-high-low-close	成交量-盘高-盘低-收盘股价图	common
Volume-open-high-low-close	成交量-开盘-盘高-盘低-收盘股价图	common
3-D surface	三维曲面	common
Wireframe 3-D surface	线框三维曲面	common
Filled radar	填充雷达图	common
Histogram	直方图	common
Custom combination	自定义组合	common
Change Chart Type	更改图表类型	common
Edit Data in Microsoft Excel	在 Microsoft Excel 中编辑数据	common
Entire column	整列	common
Select Data	选择数据	common
Select Data Source	选择数据源	common
Series options	系列选项	common
Format Data Point	设置数据点格式	common
Set as total	设为总计	common
Format Data Series	设置数据系列格式	common
Show connector lines	显示连接线	common
Increase	增加	common
Decrease	减少	common
Total	汇总	common
Gap width	分类间距	common
Show inner points	显示内部点	common
Show outlier points	显示离群值点	common
Show mean markers	显示平均值标记	common
Cut	剪切	common
Copy	复制	common
Paste	粘贴	common
Home	开始	common
Insert	插入	common
Review	审阅	common
View	视图	common
Share	共享	common
Comments	批注	common
File	文件	common
New	新建	common
Save a Copy	保存副本	common
Search	搜索	common
Close	关闭	common
Font	字体	common
Font Color	字体颜色	common
Design	设计	common
Layout	布局；版式	common
Help	帮助	common
Clipboard	剪贴板	common
Replace	替换	common
Styles	样式	common
Print Layout	打印布局；打印版式	common
Print	打印	common
Open	打开	common
Find	查找	common
Go To	定位	common
Macro	宏	common
Selection	选择	common
Save As	另存为	common
Printer	打印机	common
File name	文件名	common
Superscript	上标	common
Subscript	下标	common
Advanced	高级	common
Play	播放	common
Pause	暂停	common
Link Settings	链接设置	common
Post comment	发布批注	common
Insert Hyperlink	插入超链接	common
Themes	主题	common
Create New Theme Colors	新建主题颜色	common
Insert Picture	插入图片	common
Page Setup	页面设置	common
Vertical alignment	垂直对齐方式	common
Paragraph	段落	common
Editing options	编辑选项	common
Image Size and Quality	图像大小和质量	common
Chart	图表	common
Save	保存	common
General	常规	common
Options	选项	common
This PC	此电脑	common
OK	确定	common
Category	类别	common
Customize	自定义	common
Preview	预览	common
Browse	浏览	common
Save as type	保存类型	common
Copies	份数	common
Create	创建	common
Previous	上一个；上一张	common
Pages	页面；页码范围	common
Settings	设置	common
Undo	撤消	common
Yes	是	common
No	否	common
Cancel	取消	common
Number	数字	common
Paste Special	选择性粘贴	common
Zoom	缩放	common
Normal	普通	common
Print What	打印内容	common
Format	格式	common
List	列表	common
Custom	自定义	common
Editing	编辑	common
Color	颜色；彩色	common
Ribbon	功能区；窗口顶部集中显示命令的区域	common
Tab	选项卡；功能区顶部的功能分类标签	common
Group	命令组；功能区内相关命令的集合	common
Command	命令；执行某项具体操作的按钮或菜单项	common
Backstage View	后台视图；单击文件后显示的文档管理界面	common
Title Bar	标题栏；显示文件名和应用名称	common
Status Bar	状态栏；窗口底部显示状态和视图信息	common
Context Menu	快捷菜单；右键单击对象后出现的菜单	common
Dialog Box	对话框；用于选择详细设置的窗口	common
Dialog Box Launcher	对话框启动器；打开某一命令组的详细选项	common
Task Pane	任务窗格；在窗口侧边显示的工具面板	common
Drop-down List	下拉列表；展开后选择其中一项	common
Check Box	复选框；可以选中或取消的方框选项	common
Radio Button	单选按钮；在一组选项中只能选择一个	common
Export	导出为其他文件格式	common
Account	账户；管理登录、许可和主题	common
Info	信息；查看属性、保护和版本信息	common
Protect	保护文件，限制打开或编辑	common
Inspect Document	检查文档中的隐藏信息和潜在问题	common
Version History	版本历史记录；查看或恢复旧版本	common
Repeat	重复执行上一个操作	common
Format Painter	格式刷；复制一个对象的格式到另一个对象	common
Zoom In	放大显示	common
Zoom Out	缩小显示	common
Full Screen	全屏显示	common
Maximize	最大化窗口	common
Restore Down	向下还原窗口大小	common
Pin	固定文件、窗格或功能区	common
Unpin	取消固定	common
Template	模板；预先设计好的文件样式和结构	common
Theme	主题；统一的颜色、字体和效果组合	common
Align Left	左对齐	common
Align Right	右对齐	common
Justify	两端对齐	common
Decrease Indent	减少缩进	common
Increase Indent	增加缩进	common
Show/Hide	显示或隐藏格式标记或界面元素	common
Comment	批注；为内容添加协作说明	common
Spelling & Grammar	拼写和语法检查	common
Accessibility Checker	辅助功能检查器；查找可访问性问题	common
Translate	翻译所选内容或整个文件	common
Language	语言；设置校对或翻译语言	common
Editor	编辑器；检查拼写、语法和写作建议	common
Read Only	只读；可以查看但限制修改	common
Recover Unsaved Files	恢复未保存的文件	common
OneDrive	微软云端存储服务	common
Sign In	登录账户	common
Sign Out	退出账户	common
Feedback	反馈；向微软发送意见或问题	common
Quick Access Toolbar	快速访问工具栏	word
AutoSave	自动保存	word
Navigation	导航	word
Read Mode	阅读模式	word
Read Aloud	朗读	word
Immersive Reader	沉浸式阅读器	word
Percent	百分比	word
Tell Me	操作说明搜索	word
Mailings	邮件	word
Developer	开发工具	word
Object	对象	word
Heading 1	标题 1	word
Heading 2	标题 2	word
Heading 3	标题 3	word
Apply Styles	应用样式	word
Outline	大纲	word
Draft	草稿	word
Reveal Formatting	显示格式设置	word
Bookmark	书签	word
Thesaurus	同义词库	word
Translator	翻译	word
AutoCorrect	自动更正	word
Table of Contents	目录	word
Navigation Pane	导航窗格	word
Page Number	页码	word
Header	页眉	word
Footer	页脚	word
Save Print Output As	将打印输出另存为	word
Dark Gray	深灰色	word
Font style	字形	word
Font size	字号	word
Underline style	下划线样式	word
Underline color	下划线颜色	word
Strikethrough	删除线	word
Double strikethrough	双删除线	word
Small caps	小号大写字母	word
All caps	全部大写	word
Hidden	隐藏	word
Set As Default	设为默认值	word
Text Effects	文本效果	word
Bullet Library	项目符号库	word
Numbering Library	编号库	word
Transcribe	转录	word
Start recording	开始录制	word
Simple Markup	简单标记	word
No Markup	无标记	word
All Markup	所有标记	word
Original	原始	word
Show Markup	显示标记	word
Reviewing Pane	审阅窗格	word
Track Changes	修订	word
Lock Tracking	锁定跟踪	word
Contextual View	上下文视图	word
Reply to comment	回复批注	word
Resolve comment	解决批注	word
Address	地址	word
Text to display	要显示的文本	word
Recent items	最近使用的项目	word
Look in	查找范围	word
Subject	主题	word
Select a place in this document	选择此文档中的位置	word
Bookmark name	书签名称	word
Set Hyperlink ScreenTip	设置超链接屏幕提示	word
AutoCorrect options	自动更正选项	word
AutoFormat As You Type	键入时自动套用格式	word
Date and Time	日期和时间	word
References	引用	word
Next Footnote	下一个脚注	word
Previous Footnote	上一个脚注	word
Show Notes	显示备注	word
View footnote area	查看脚注区域	word
Next Endnote	下一个尾注	word
Previous Endnote	上一个尾注	word
Footnote	脚注	word
Endnote	尾注	word
Endnote Text	尾注文本	word
Convert all footnotes to endnotes	将所有脚注转换为尾注	word
Convert all endnotes to footnotes	将所有尾注转换为脚注	word
Swap footnotes and endnotes	交换脚注和尾注	word
Header row	标题行	word
Alt Text	替换文字	word
Edit Text	编辑文本	word
In Line with Text	嵌入型	word
Blank document	空白文档	word
Search for online templates	搜索联机模板	word
This document only	仅此文档	word
All documents	所有文档	word
Record Macro	录制宏	word
Macro name	宏名称	word
Customize keyboard	自定义键盘	word
Macros	宏	word
Cut, copy, and paste	剪切、复制和粘贴	word
Show document content	显示文档内容	word
Display	显示	word
File Locations	文件位置	word
Enable Live Preview	启用实时预览	word
Update document content while dragging	在拖动时更新文档内容	word
ScreenTip style	屏幕提示样式	word
User name	用户名	word
Initials	缩写	word
Office Background	Office 背景	word
Office Theme	Office 主题	word
Indents and Spacing	缩进和间距	word
Customize Ribbon	自定义功能区	word
Picture Control	图片控件	word
Controls	控件	word
Properties	属性	word
Display Name	显示名称	word
Content Control Properties	内容控件属性	word
Locking	锁定	word
Content control cannot be deleted	无法删除内容控件	word
Contents cannot be edited	无法编辑内容	word
Enter new password (optional)	输入新密码 (可选)	word
Categories	类别	word
Commands	命令	word
Current keys	当前快捷键	word
Press new shortcut key	请按新快捷键	word
Word Options	Word 选项	word
Save changes in	将更改保存在	word
Assign	指定	word
New Tab	新建选项卡	word
All Commands	所有命令	word
Show white space between pages in Print Layout view	在“打印布局”视图中显示页面之间的空白	word
Show highlighter marks	显示荧光笔标记	word
Show document tooltips on hover	悬停时显示文档工具提示	word
Tab characters	制表符	word
Paragraph marks	段落标记	word
Hidden text	隐藏文本	word
Optional hyphens	可选连字符	word
Object anchors	对象定位点	word
Show all formatting marks	显示所有格式标记	word
Print drawings created in Word	打印在 Word 中创建的绘图	word
Print background colors and images	打印背景色和图像	word
Print document properties	打印文档属性	word
Print hidden text	打印隐藏文本	word
Update fields before printing	打印前更新字段	word
Update linked data before printing	打印前更新链接数据	word
Line spacing	行距	word
1.5 lines	1.5 倍行距	word
Double	2 倍行距	word
Never change the document page color	从不更改文档页面颜色	word
Compatibility Mode	兼容模式	word
Add a Place	添加位置	word
Edit Document	编辑文档	word
Markup	标记	word
Insertions and Deletions	插入和删除	word
All Reviewers	所有审阅者	word
Accept	接受	word
Reject	拒绝	word
Accept This Change	接受此更改	word
Accept All Changes Shown	接受显示的所有更改	word
Accept All Changes	接受所有更改	word
Reject Change	拒绝更改	word
Reject All Changes Shown	拒绝显示的所有更改	word
Reject All Changes	拒绝所有更改	word
Accept Insertion	接受插入	word
Accept Deletion	接受删除	word
Reject Deletion	拒绝删除	word
Document Info	文档信息	word
Print Markup	打印标记	word
Reviewing Pane Vertical	垂直审阅窗格	word
Print All Pages	打印所有页面	word
Print Current Page	打印当前页面	word
Custom Print	自定义打印	word
Specific people	特定人员	word
Bold	加粗	word
Italic	倾斜	word
Underline	下划线	word
Increase Font Size	增大字号	word
Decrease Font Size	减小字号	word
Change Case	更改大小写	word
Clear All Formatting	清除所有格式	word
Text Effects and Typography	文本效果和版式	word
Text Highlight Color	文本突出显示颜色	word
Document Formatting	文档格式	word
Paragraph Spacing	段落间距	word
Custom Paragraph Spacing	自定义段落间距	word
